"filename", "language", "XML", "JSON with Comments", "Markdown", "JSON", "JavaScript", "TypeScript", "CSS", "TypeScript JSX", "MS SQL", "comment", "blank", "total"
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\README.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 14, 37
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\change_log.md", "Markdown", 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 70, 296
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\docs\features\sprint0-core-foundation.md", "Markdown", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 10, 42
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\docs\features\sprint1-subscription-plans.md", "Markdown", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 7, 33
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\docs\features\sprint10-course-content-syllabi.md", "Markdown", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\docs\features\sprint11-assignments-submissions.md", "Markdown", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 6, 32
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\docs\features\sprint12-attendance-gradebook.md", "Markdown", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 7, 38
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\docs\features\sprint13-realtime-messaging.md", "Markdown", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 6, 33
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\docs\features\sprint14-circulars-notifications.md", "Markdown", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 9, 42
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\docs\features\sprint2-tenant-provisioning.md", "Markdown", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 8, 43
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\docs\features\sprint3-dashboard-announcements.md", "Markdown", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 8, 44
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\docs\features\sprint4-tenant-admin-onboarding.md", "Markdown", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 14, 62
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\docs\features\sprint5-academic-skeleton.md", "Markdown", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\docs\features\sprint6-curriculum-study-plans.md", "Markdown", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 9, 38
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\docs\features\sprint7-user-population-rbac.md", "Markdown", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 9, 49
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\docs\features\sprint8-sections-enrollment.md", "Markdown", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 11, 58
