"filename", "language", "JavaScript", "JSON with Comments", "MS SQL", "TypeScript", "Markdown", "TypeScript JSX", "JSON", "XML", "PostCSS", "comment", "blank", "total"
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 14, 37
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\SYSTEM_DOCUMENTATION.md", "Markdown", 0, 0, 0, 0, 613, 0, 0, 0, 0, 0, 223, 836
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\change_log.md", "Markdown", 0, 0, 0, 0, 2708, 0, 0, 0, 0, 0, 790, 3498
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\Academic_Structure_Architecture.md", "Markdown", 0, 0, 0, 0, 413, 0, 0, 0, 0, 0, 114, 527
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\SEED_DATA.md", "Markdown", 0, 0, 0, 0, 332, 0, 0, 0, 0, 0, 109, 441
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\features\Ticketing_System_Workflow.md", "Markdown", 0, 0, 0, 0, 416, 0, 0, 0, 0, 0, 123, 539
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\features\sprint0-core-foundation.md", "Markdown", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 10, 42
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\features\sprint1-subscription-plans.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 7, 33
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\features\sprint10-course-content-syllabi.md", "Markdown", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 7, 41
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\features\sprint11-assignments-submissions.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 6, 32
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\features\sprint12-attendance-gradebook.md", "Markdown", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 7, 38
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\features\sprint13-realtime-messaging.md", "Markdown", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 6, 33
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\features\sprint14-circulars-notifications.md", "Markdown", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 9, 42
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\features\sprint15-ai-data-ingestion.md", "Markdown", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 9, 38
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\features\sprint16-unibot-chat.md", "Markdown", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 7, 35
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\features\sprint17-predictive-analytics.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 8, 46
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\features\sprint18-ticketing-ai-preresolution.md", "Markdown", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 9, 50
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\features\sprint19-approval-workflows-ticket-processing.md", "Markdown", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 9, 56
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\features\sprint2-tenant-provisioning.md", "Markdown", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 8, 43
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\features\sprint20-ui-ux-dark-mode.md", "Markdown", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 10, 59
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\features\sprint21-security-hardening.md", "Markdown", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 9, 43
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\features\sprint22-gemini-migration.md", "Markdown", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 11, 51
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\features\sprint23-e2e-testing.md", "Markdown", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 15, 72
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\features\sprint3-dashboard-announcements.md", "Markdown", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 8, 44
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\docs\features\sprint4-tenant-admin-onboarding.md", "Markdown", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 14, 62
